,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_04_0_bar_x,ax_04_0_bar_y,ax_05_0_bar_x,ax_05_0_bar_y
57,,,,,1,7,0.0035542846,NONE_STR,1,7,0.000101447105,1,7,-0.0034528375,,,,
58,,,,,1,8,0.0037418604,NONE_STR,1,8,8.2314014e-05,1,8,-0.0036595464,,,,
59,,,,,1,9,0.0038313866,NONE_STR,1,9,0.000113248825,1,9,-0.0037181377,,,,
60,,,,,1,10,0.0050278306,NONE_STR,1,10,0.0005879402,1,10,-0.0044398904,,,,
61,,,,,1,11,0.006277621,NONE_STR,1,11,8.5771084e-05,1,11,-0.0061918497,,,,
62,,,,,1,12,0.0047203302,NONE_STR,1,12,0.00012862682,1,12,-0.0045917034,,,,
63,,,,,1,13,0.0031222105,NONE_STR,1,13,8.3863735e-05,1,13,-0.0030383468,,,,
64,,,,,1,14,0.002584517,NONE_STR,1,14,7.9512596e-05,1,14,-0.0025050044,,,,
65,,,,,1,15,0.0031965375,NONE_STR,1,15,0.00012141466,1,15,-0.0030751228,,,,
66,,,,,1,16,0.002745688,NONE_STR,1,16,8.7440014e-05,1,16,-0.002658248,,,,
67,,,,,1,17,0.0024843216,NONE_STR,1,17,0.0002657771,1,17,-0.0022185445,,,,
68,,,,,1,18,0.0024220943,NONE_STR,1,18,0.00011616945,1,18,-0.002305925,,,,
69,,,,,1,19,0.002039075,NONE_STR,1,19,0.00023633242,1,19,-0.0018027425,,,,
70,,,,,1,20,0.003048718,NONE_STR,1,20,8.7082386e-05,1,20,-0.0029616356,,,,
71,,,,,1,21,0.002425611,NONE_STR,1,21,0.00023913383,1,21,-0.0021864772,,,,
72,,,,,1,22,0.0023770332,NONE_STR,1,22,8.529425e-05,1,22,-0.002291739,,,,
73,,,,,1,23,0.0026153326,NONE_STR,1,23,8.0525875e-05,1,23,-0.0025348067,,,,
74,,,,,1,24,0.0027044415,NONE_STR,1,24,7.635355e-05,1,24,-0.002628088,,,,
75,,,,,1,25,0.0024214387,NONE_STR,1,25,7.998943e-05,1,25,-0.0023414493,,,,
76,,,,,1,26,0.002317369,NONE_STR,1,26,0.00017076731,1,26,-0.0021466017,,,,
77,,,,,1,27,0.0030987263,NONE_STR,1,27,9.518862e-05,1,27,-0.0030035377,,,,
78,,,,,1,28,0.002702713,NONE_STR,1,28,0.00016349554,1,28,-0.0025392175,,,,
79,,,,,1,29,0.0031579137,NONE_STR,1,29,7.557869e-05,1,29,-0.003082335,,,,
80,,,,,1,30,0.0032801628,NONE_STR,1,30,7.0273876e-05,1,30,-0.003209889,,,,
81,,,,,1,31,0.0023167133,NONE_STR,1,31,7.9870224e-05,1,31,-0.002236843,,,,
82,,,,,1,32,0.0023611188,NONE_STR,1,32,0.00011986494,1,32,-0.0022412539,,,,
83,,,,,1,33,0.0025694966,NONE_STR,1,33,8.3208084e-05,1,33,-0.0024862885,,,,
84,,,,,1,34,0.0025333166,NONE_STR,1,34,7.891655e-05,1,34,-0.0024544,,,,
85,,,,,1,35,0.0023713708,NONE_STR,1,35,0.00043421984,1,35,-0.001937151,,,,
86,,,,,1,36,0.0023035407,NONE_STR,1,36,6.967783e-05,1,36,-0.0022338629,,,,
87,,,,,1,37,0.0029175878,NONE_STR,1,37,9.8347664e-05,1,37,-0.00281924,,,,
88,,,,,1,38,0.0029084682,NONE_STR,1,38,8.9883804e-05,1,38,-0.0028185844,,,,
89,,,,,1,39,0.003759861,NONE_STR,1,39,0.0001630187,1,39,-0.0035968423,,,,
90,,,,,1,40,0.0036815405,NONE_STR,1,40,0.0001565814,1,40,-0.003524959,,,,
91,,,,,1,41,0.0028327107,NONE_STR,1,41,7.861853e-05,1,41,-0.0027540922,,,,
92,,,,,1,42,0.0027880669,NONE_STR,1,42,7.814169e-05,1,42,-0.0027099252,,,,
93,,,,,1,43,0.0033063293,NONE_STR,1,43,0.00010663271,1,43,-0.0031996965,,,,
94,,,,,1,44,0.0035387278,NONE_STR,1,44,8.2314014e-05,1,44,-0.0034564137,,,,
95,,,,,1,45,0.0035988092,NONE_STR,1,45,0.00023549795,1,45,-0.0033633113,,,,
96,,,,,1,46,0.0037452579,NONE_STR,1,46,7.7843666e-05,1,46,-0.0036674142,,,,
97,,,,,1,47,0.004402697,NONE_STR,1,47,8.380413e-05,1,47,-0.004318893,,,,
98,,,,,1,48,0.0051351786,NONE_STR,1,48,0.00034439564,1,48,-0.004790783,,,,
99,,,,,1,49,0.0056934357,NONE_STR,1,49,9.173155e-05,1,49,-0.005601704,,,,
100,,,,,2,0,0.0025528073,NONE_STR,2,0,9.274483e-05,2,0,-0.0024600625,,,,
101,,,,,2,1,0.0021725297,NONE_STR,2,1,0.00017768145,2,1,-0.0019948483,,,,
102,,,,,2,2,0.001660645,NONE_STR,2,2,0.00010049343,2,2,-0.0015601516,,,,
103,,,,,2,3,0.0022595525,NONE_STR,2,3,8.267164e-05,2,3,-0.0021768808,,,,
104,,,,,2,4,0.0029745102,NONE_STR,2,4,6.580353e-05,2,4,-0.0029087067,,,,
105,,,,,2,5,0.0025925636,NONE_STR,2,5,0.00013756752,2,5,-0.002454996,,,,
106,,,,,2,6,0.0024200082,NONE_STR,2,6,0.0002464056,2,6,-0.0021736026,,,,
107,,,,,2,7,0.0027528405,NONE_STR,2,7,6.443262e-05,2,7,-0.002688408,,,,
108,,,,,2,8,0.0022706985,NONE_STR,2,8,8.314848e-05,2,8,-0.00218755,,,,
109,,,,,2,9,0.0022708774,NONE_STR,2,9,0.00014436245,2,9,-0.002126515,,,,
110,,,,,2,10,0.0034092069,NONE_STR,2,10,0.000341177,2,10,-0.0030680299,,,,
111,,,,,2,11,0.00434047,NONE_STR,2,11,6.151199e-05,2,11,-0.004278958,,,,
112,,,,,2,12,0.0038971305,NONE_STR,2,12,0.00012207031,2,12,-0.0037750602,,,,
113,,,,,2,13,0.003226757,NONE_STR,2,13,9.9658966e-05,2,13,-0.003127098,,,,
114,,,,,2,14,0.0026316643,NONE_STR,2,14,8.4638596e-05,2,14,-0.0025470257,,,,
115,,,,,2,15,0.0027401447,NONE_STR,2,15,7.742643e-05,2,15,-0.0026627183,,,,
116,,,,,2,16,0.0027514696,NONE_STR,2,16,9.781122e-05,2,16,-0.0026536584,,,,
117,,,,,2,17,0.002429068,NONE_STR,2,17,0.00015819073,2,17,-0.0022708774,,,,
118,,,,,2,18,0.004502833,NONE_STR,2,18,7.677078e-05,2,18,-0.004426062,,,,
119,,,,,2,19,0.0036531687,NONE_STR,2,19,0.0001552701,2,19,-0.0034978986,,,,
120,,,,,2,20,0.007670641,NONE_STR,2,20,0.000102460384,2,20,-0.0075681806,,,,
121,,,,,2,21,0.005196452,NONE_STR,2,21,0.00013059378,2,21,-0.0050658584,,,,
122,,,,,2,22,0.0043995976,NONE_STR,2,22,8.016825e-05,2,22,-0.0043194294,,,,
123,,,,,2,23,0.0054009557,NONE_STR,2,23,0.000101566315,2,23,-0.0052993894,,,,
124,,,,,2,24,0.0059170723,NONE_STR,2,24,9.518862e-05,2,24,-0.0058218837,,,,
125,,,,,2,25,0.0045966506,NONE_STR,2,25,0.00010293722,2,25,-0.0044937134,,,,
126,,,,,2,26,0.00447309,NONE_STR,2,26,8.8989735e-05,2,26,-0.0043841004,,,,
127,,,,,2,27,0.00808388,NONE_STR,2,27,6.28829e-05,2,27,-0.008020997,,,,
128,,,,,2,28,0.0041764975,NONE_STR,2,28,0.00010675192,2,28,-0.0040697455,,,,
