,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,ax_02_0_bar_x,ax_02_0_bar_y,ax_03_0_hist_x
0,0,0,0.005759756,0.0,0.060763262,0.005759756
1,0,1,0.0046700835,1.0,0.05978648,0.0046700835
2,0,2,0.0040498376,2.0,0.05426593,0.0040498376
3,0,3,0.003729125,3.0,0.05311,0.003729125
4,0,4,0.0036491356,4.0,0.051574044,0.0036491356
5,0,5,0.00377659,5.0,0.051240407,0.00377659
6,0,6,0.0039213896,6.0,0.05002837,0.0039213896
7,0,7,0.004003664,7.0,0.052170526,0.004003664
8,0,8,0.00420783,8.0,0.08705505,0.00420783
9,0,9,0.0044693155,9.0,0.06882849,0.0044693155
10,0,10,0.0046481094,10.0,0.05690768,0.0046481094
11,0,11,0.0048318906,11.0,0.04940809,0.0048318906
12,0,12,0.004901012,12.0,0.045467645,0.004901012
13,0,13,0.00514096,13.0,0.045021206,0.00514096
14,0,14,0.0055775642,14.0,0.04852303,0.0055775642
15,0,15,0.006021142,15.0,0.065123364,0.006021142
16,0,16,0.0062447786,16.0,0.051804077,0.0062447786
17,0,17,0.006129603,17.0,0.048922352,0.006129603
18,0,18,0.005677104,,,0.005677104
19,0,19,0.0049134693,,,0.0049134693
20,0,20,0.0040912433,,,0.0040912433
21,0,21,0.0036830902,,,0.0036830902
22,0,22,0.0036433737,,,0.0036433737
23,0,23,0.0035065017,,,0.0035065017
24,0,24,0.0032841365,,,0.0032841365
25,0,25,0.0032690167,,,0.0032690167
26,0,26,0.0033933125,,,0.0033933125
27,0,27,0.0035087268,,,0.0035087268
28,0,28,0.0034870505,,,0.0034870505
29,0,29,0.003473441,,,0.003473441
30,0,30,0.0036657255,,,0.0036657255
31,0,31,0.004193604,,,0.004193604
32,0,32,0.005005598,,,0.005005598
33,0,33,0.0060648723,,,0.0060648723
34,0,34,0.007191102,,,0.007191102
35,0,35,0.008202354,,,0.008202354
36,0,36,0.009049019,,,0.009049019
37,0,37,0.009583573,,,0.009583573
38,0,38,0.009791951,,,0.009791951
39,0,39,0.009746671,,,0.009746671
40,0,40,0.009546678,,,0.009546678
41,0,41,0.009301901,,,0.009301901
42,0,42,0.00892967,,,0.00892967
43,0,43,0.008434376,,,0.008434376
44,0,44,0.008039078,,,0.008039078
45,0,45,0.0076361103,,,0.0076361103
46,0,46,0.007099907,,,0.007099907
47,0,47,0.006557246,,,0.006557246
48,0,48,0.0060297847,,,0.0060297847
49,0,49,0.0057519875,,,0.0057519875
50,0,50,0.005768518,,,0.005768518
51,0,51,0.005784313,,,0.005784313
52,0,52,0.005756577,,,0.005756577
53,0,53,0.005522132,,,0.005522132
54,0,54,0.005081137,,,0.005081137
55,0,55,0.0047238274,,,0.0047238274
56,0,56,0.004569928,,,0.004569928
57,0,57,0.0043721995,,,0.0043721995
58,0,58,0.0040358705,,,0.0040358705
59,0,59,0.0036557517,,,0.0036557517
60,0,60,0.0034413736,,,0.0034413736
61,0,61,0.0035317938,,,0.0035317938
62,0,62,0.0037605166,,,0.0037605166
63,0,63,0.0040533147,,,0.0040533147
64,0,64,0.0045199,,,0.0045199
65,0,65,0.0049530864,,,0.0049530864
66,0,66,0.005162537,,,0.005162537
67,0,67,0.0058345003,,,0.0058345003
68,0,68,0.0060442886,,,0.0060442886
69,0,69,0.00530688,,,0.00530688
70,0,70,0.004624923,,,0.004624923
71,0,71,0.0041660867,,,0.0041660867
72,0,72,0.00393939,,,0.00393939
73,0,73,0.003931324,,,0.003931324
74,0,74,0.0040949583,,,0.0040949583
75,0,75,0.0043691,,,0.0043691
76,0,76,0.004683475,,,0.004683475
77,0,77,0.004960716,,,0.004960716
78,0,78,0.005155325,,,0.005155325
79,0,79,0.005276402,,,0.005276402
80,0,80,0.0053525968,,,0.0053525968
81,0,81,0.005399744,,,0.005399744
82,0,82,0.0054215393,,,0.0054215393
83,0,83,0.005420089,,,0.005420089
84,0,84,0.005400201,,,0.005400201
85,0,85,0.005368988,,,0.005368988
86,0,86,0.005324324,,,0.005324324
87,0,87,0.0052546067,,,0.0052546067
88,0,88,0.0051593585,,,0.0051593585
89,0,89,0.005084157,,,0.005084157
90,0,90,0.005053222,,,0.005053222
91,0,91,0.0053077936,,,0.0053077936
92,0,92,0.0063020787,,,0.0063020787
93,0,93,0.008945505,,,0.008945505
94,0,94,0.013135573,,,0.013135573
95,0,95,0.01347814,,,0.01347814
96,0,96,0.010496835,,,0.010496835
97,0,97,0.007620752,,,0.007620752
98,0,98,0.0053024096,,,0.0053024096
99,0,99,0.00415953,,,0.00415953
100,1,0,0.004243076,,,0.004243076
101,1,1,0.003462553,,,0.003462553
102,1,2,0.0030395787,,,0.0030395787
103,1,3,0.0028430026,,,0.0028430026
104,1,4,0.0028656125,,,0.0028656125
105,1,5,0.0030778847,,,0.0030778847
106,1,6,0.003258884,,,0.003258884
107,1,7,0.0033445358,,,0.0033445358
108,1,8,0.0035160384,,,0.0035160384
109,1,9,0.0037582517,,,0.0037582517
110,1,10,0.0039354763,,,0.0039354763
111,1,11,0.0041302843,,,0.0041302843
112,1,12,0.00423644,,,0.00423644
113,1,13,0.004529516,,,0.004529516
114,1,14,0.005021294,,,0.005021294
115,1,15,0.005518715,,,0.005518715
116,1,16,0.005781631,,,0.005781631
117,1,17,0.0056789718,,,0.0056789718
118,1,18,0.0052244468,,,0.0052244468
119,1,19,0.0044694147,,,0.0044694147
120,1,20,0.0036717653,,,0.0036717653
121,1,21,0.0032761693,,,0.0032761693
122,1,22,0.0031913917,,,0.0031913917
