,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_03_0_scatter_x,ax_03_0_scatter_y,ax_03_1_plot_x,ax_03_1_plot_y
53,0,53,0.0036893487,0,53,0.0069001582,0,53,-0.8522003,0.0036893487,0.0069001582,,
54,0,54,0.0035203695,0,54,0.007112744,0,54,-0.96263236,0.0035203695,0.007112744,,
55,0,55,0.0032975078,0,55,0.0074560284,0,55,-1.0696524,0.0032975078,0.0074560284,,
56,0,56,0.0032048225,0,56,0.0078936955,0,56,-1.1301098,0.0032048225,0.0078936955,,
57,0,57,0.0032612085,0,57,0.008353465,0,57,-1.1466252,0.0032612085,0.008353465,,
58,0,58,0.0034660697,0,58,0.008773117,0,58,-1.1272801,0.0034660697,0.008773117,,
59,0,59,0.0038084388,0,59,0.00911478,0,59,-1.0811303,0.0038084388,0.00911478,,
60,0,60,0.004244387,0,60,0.009354697,0,60,-1.0224382,0.004244387,0.009354697,,
61,0,61,0.0047224164,0,61,0.009531146,0,61,-0.9616907,0.0047224164,0.009531146,,
62,0,62,0.005165398,0,62,0.009694895,0,62,-0.91468006,0.005165398,0.009694895,,
63,0,63,0.0055550933,0,63,0.009897178,0,63,-0.8847493,0.0055550933,0.009897178,,
64,0,64,0.005870044,0,64,0.010156606,0,64,-0.8711946,0.005870044,0.010156606,,
65,0,65,0.006085515,0,65,0.010464149,0,65,-0.8691133,0.006085515,0.010464149,,
66,0,66,0.0062631965,0,66,0.010824771,0,66,-0.8627759,0.0062631965,0.010824771,,
67,0,67,0.0064614415,0,67,0.01123305,0,67,-0.843391,0.0064614415,0.01123305,,
68,0,68,0.006743133,0,68,0.011679766,0,68,-0.8070632,0.006743133,0.011679766,,
69,0,69,0.0071538687,0,69,0.0121349525,0,69,-0.75490206,0.0071538687,0.0121349525,,
70,0,70,0.007742703,0,70,0.012525456,0,70,-0.68304807,0.007742703,0.012525456,,
71,0,71,0.008484662,0,71,0.012703333,0,71,-0.58366984,0.008484662,0.012703333,,
72,0,72,0.009348273,0,72,0.012629442,0,72,-0.44823885,0.009348273,0.012629442,,
73,0,73,0.010344386,0,73,0.012342417,0,73,-0.2696364,0.010344386,0.012342417,,
74,0,74,0.011691272,0,74,0.012021956,0,74,-0.043770976,0.011691272,0.012021956,,
75,0,75,0.013237774,0,75,0.011795272,0,75,0.18572599,0.013237774,0.011795272,,
76,0,76,0.013901889,0,76,0.011567602,0,76,0.29770222,0.013901889,0.011567602,,
77,0,77,0.013027847,0,77,0.011350734,0,77,0.21699716,0.013027847,0.011350734,,
78,0,78,0.011179328,0,78,0.011159499,0,78,0.0026794511,0.011179328,0.011159499,,
79,0,79,0.009065211,0,79,0.010678508,0,79,-0.24840611,0.009065211,0.010678508,,
80,0,80,0.0068777204,0,80,0.010117583,0,80,-0.61617726,0.0068777204,0.010117583,,
81,0,81,0.005261898,0,81,0.009864389,0,81,-1.1068577,0.005261898,0.009864389,,
82,0,82,0.0042901635,0,82,0.009861598,0,82,-1.6724654,0.0042901635,0.009861598,,
83,0,83,0.004077375,0,83,0.009893913,0,83,-1.8104,0.004077375,0.009893913,,
84,0,84,0.0039454103,0,84,0.009920094,0,84,-1.8625932,0.0039454103,0.009920094,,
85,0,85,0.0037875772,0,85,0.00994568,0,85,-1.9275428,0.0037875772,0.00994568,,
86,0,86,0.0035985708,0,86,0.009969634,0,86,-2.0077972,0.0035985708,0.009969634,,
87,0,87,0.0033735037,0,87,0.009991973,0,87,-2.1067197,0.0033735037,0.009991973,,
88,0,88,0.0031113625,0,88,0.010014679,0,88,-2.2282388,0.0031113625,0.010014679,,
89,0,89,0.0028196573,0,89,0.010040907,0,89,-2.3751047,0.0028196573,0.010040907,,
90,0,90,0.0025160909,0,90,0.010072687,0,90,-2.5465953,0.0025160909,0.010072687,,
91,0,91,0.0022235513,0,91,0.010108403,0,91,-2.7373934,0.0022235513,0.010108403,,
92,0,92,0.0019613504,0,92,0.010142952,0,92,-2.9385266,0.0019613504,0.010142952,,
93,0,93,0.0017377734,0,93,0.0101716705,0,93,-3.1412504,0.0017377734,0.0101716705,,
94,0,94,0.0015509725,0,94,0.010195635,0,94,-3.3409026,0.0015509725,0.010195635,,
95,0,95,0.0013959408,0,95,0.010223997,0,95,-3.538562,0.0013959408,0.010223997,,
96,0,96,0.0012708902,0,96,0.010267696,0,96,-3.7393134,0.0012708902,0.010267696,,
97,0,97,0.0011774302,0,97,0.01032832,0,97,-3.9471877,0.0011774302,0.01032832,,
98,0,98,0.0011129975,0,98,0.010392837,0,98,-4.1599007,0.0011129975,0.010392837,,
99,0,99,0.0010641217,0,99,0.010444786,0,99,-4.3704176,0.0010641217,0.010444786,,
100,1,0,0.0004749298,1,0,0.014855884,1,0,-6.366381,0.0004749298,0.014855884,,
101,1,1,0.0005028844,1,1,0.014583013,1,1,-4.636307,0.0005028844,0.014583013,,
102,1,2,0.00052654743,1,2,0.014260752,1,2,-3.4277322,0.00052654743,0.014260752,,
103,1,3,0.0005463362,1,3,0.013877208,1,3,-2.6288242,0.0005463362,0.013877208,,
104,1,4,0.0005532503,1,4,0.013383837,1,4,-2.119139,0.0005532503,0.013383837,,
105,1,5,0.00056779385,1,5,0.012916251,1,5,-1.7948011,0.00056779385,0.012916251,,
106,1,6,0.00059103966,1,6,0.012552517,1,6,-1.6020772,0.00059103966,0.012552517,,
107,1,7,0.00062423944,1,7,0.012298362,1,7,-1.504922,0.00062423944,0.012298362,,
108,1,8,0.00066512823,1,8,0.012136422,1,8,-1.4773259,0.00066512823,0.012136422,,
109,1,9,0.0007098913,1,9,0.012045605,1,9,-1.4990574,0.0007098913,0.012045605,,
110,1,10,0.0007520318,1,10,0.012003739,1,10,-1.5536001,0.0007520318,0.012003739,,
111,1,11,0.0007798672,1,11,0.01198251,1,11,-1.6297617,0.0007798672,0.01198251,,
112,1,12,0.000787735,1,12,0.011934254,1,12,-1.7255216,0.000787735,0.011934254,,
113,1,13,0.0007890463,1,13,0.011886368,1,13,-1.8288529,0.0007890463,0.011886368,,
114,1,14,0.0008035302,1,14,0.011858997,1,14,-1.9248602,0.0008035302,0.011858997,,
115,1,15,0.0008419156,1,15,0.011848688,1,15,-2.0015945,0.0008419156,0.011848688,,
