,duration,n_signals,gpac_time,tensorpac_time,speedup
0,1,1,0.0017251968383789062,0.04613661766052246,26.74281370923162
1,1,4,0.0034542083740234375,0.05714893341064453,16.544726670347874
2,1,8,0.005893707275390625,0.08014965057373047,13.599190938511327
3,1,16,0.010918855667114258,0.1237645149230957,11.334934602703234
4,1,32,0.021167278289794922,0.22250819206237793,10.511894302899236
5,2,1,0.001508474349975586,0.05496716499328613,36.438912596807334
6,2,4,0.003537893295288086,0.08698725700378418,24.587303726666217
7,2,8,0.0060732364654541016,0.1306171417236328,21.507007419620773
8,2,16,0.011155128479003906,0.2252955436706543,20.196588868940754
9,2,32,0.020835399627685547,0.4056854248046875,19.470969218446047
10,5,1,0.001531839370727539,0.0735468864440918,48.01214007782101
11,5,4,0.00354766845703125,0.15500259399414062,43.69139784946236
12,5,8,0.006138324737548828,0.2609233856201172,42.50726326419638
13,5,16,0.01140141487121582,0.4742748737335205,41.59789632169967
14,5,32,0.02202773094177246,0.9196586608886719,41.750040588369
15,10,1,0.0015506744384765625,0.10118484497070312,65.25215252152522
16,10,4,0.0035936832427978516,0.26511216163635254,73.77171100643535
17,10,8,0.0064351558685302734,0.4799468517303467,74.58200881775407
18,10,16,0.012079000473022461,0.8866727352142334,73.40613465448158
19,10,32,0.023180246353149414,1.870586633682251,80.69744407302649
20,20,1,0.0015769004821777344,0.15627193450927734,99.10069549440581
21,20,4,0.0036439895629882812,0.4708521366119385,129.2133603768647
22,20,8,0.0061190128326416016,0.9338676929473877,152.61737775180205
23,20,16,0.011601686477661133,1.8607368469238281,160.38503113376214
24,20,32,0.023260116577148438,3.776125907897949,162.34337843378435
